"MpNo","DateTime","Epoch","H2O_c","d18O_c","dD_c","H2O_a","d18O_a","dD_a","Dex_c","Dex_a","Dex_WV","E"
2,2018-09-06 12:46:00,1536230760.782,17140.6518148148,-15.5514074074074,-75.9521851851852,13213.7514785304,-16.6920386207579,-105.485781098673,48.4590740740741,28.0505278673905,117.132438437678,1.24126866770974
2,2018-09-05 20:01:00,1536170460.539,12828.4076996337,-15.8845750915751,-77.3989267399267,12456.8282648337,-16.2582686860785,-104.743953738465,49.677673992674,25.3221957501633,866.170680227395,0.117337690921814
2,2018-09-07 12:09:00,1536314940.036,19287.9622161172,-15.6162967032967,-55.7989523809524,14198.5005256245,-17.1052718216729,-109.186124394242,69.1314212454213,27.6560501791413,184.83876196185,1.6103459297903
2,2018-09-07 19:23:00,1536340980.327,14891.4383186813,-17.5987399267399,-96.3047142857143,13930.7021176487,-17.3570100004575,-111.122760159557,44.4852051282051,27.7333198441028,287.388016067385,0.303985868661905
2,2018-09-04 15:04:00,1536066240.727,21849.1998534799,-14.527010989011,-105.246879120879,17498.097800178,-16.1318859624424,-118.645131988762,10.9692087912088,10.4099557107773,13.2182631633109,1.37809217672041
2,2018-09-05 14:01:00,1536148860.744,17863.7656996337,-15.3245494505495,-67.8314615384615,12687.2700522607,-16.4818979146205,-104.541207648726,54.7649340659341,27.3139756682386,122.045532005136,1.63463025920865
2,2018-09-03 19:50:00,1535997000.09,17176.0546227106,-16.6801245421245,-122.437175824176,15756.3415404763,-16.9320299494276,-125.161849417551,11.0038205128205,10.2943901778696,18.8772611372242,0.449657261777496
2,2018-09-06 21:09:00,1536260940.124,12880.3103040293,-17.3709706959707,-106.234391941392,12267.2949755476,-17.0031242756935,-114.454780436817,32.7333736263736,21.5702137687311,256.123831369182,0.19377114179852
2,2018-09-07 20:00:00,1536343200.123,13766.0414542125,-17.6400732600733,-103.256604395604,13854.1411006877,-17.4082986949855,-112.514991559299,37.8639816849817,26.7513980005848,-1709.6493003353,-0.0278755788254515
2,2018-09-05 21:47:00,1536176820.733,11458.8580659341,-17.2381318681319,-113.180791208791,12285.7791155019,-16.3126698170571,-109.679698960583,24.7242637362638,20.8216595758741,-33.2577319026704,-0.261126236630684
2,2018-09-04 15:41:00,1536068460.552,21453.5697802198,-14.5737509157509,-98.1364102564103,17575.9545798015,-16.0858223512687,-117.992430287985,18.4535970695971,10.6941485221646,53.624625700615,1.22812869492511
2,2018-09-06 21:46:00,1536263160.783,12244.4878925926,-17.3359888888889,-120.64927037037,12101.1803467883,-17.0604314860887,-117.290812928791,18.0386407407407,19.1926389599181,-79.4073136349624,0.0452988418803637
2,2018-09-07 14:00:00,1536321600.32,20583.0287838828,-15.5189010989011,-62.4393516483516,14574.9289634443,-17.0631395217416,-105.315477749067,61.7118571428571,31.1896384248654,135.755095923297,1.90100783733678
2,2018-09-05 22:24:00,1536179040.534,11084.8831208791,-17.3238937728938,-119.707326007326,12248.9308647958,-16.3314352292802,-110.914025604304,18.8838241758242,19.7374562299375,27.8663423495427,-0.367584693196828
2,2018-09-04 08:27:00,1536042420.239,15819.2774065934,-14.6981172161172,-136.10441025641,16359.1467826128,-16.8993833399026,-128.308826218927,-18.5194725274725,6.88624050029389,751.32561778423,-0.170989841361517
2,2018-09-06 22:23:00,1536265380.58,11618.2836959707,-17.0331868131868,-126.462967032967,11947.2124159557,-17.1156297471743,-120.015223067387,9.80252747252747,16.9098149100067,267.950471260162,-0.10397288798367
2,2018-09-05 16:24:00,1536157440.478,22327.821043956,-14.3819413919414,-56.2120622710623,12730.8859738915,-16.2760013211984,-100.174762269525,58.8434688644689,30.0332483000618,97.0618823694445,3.03351549462135
2,2018-09-04 00:41:00,1536014460.656,15105.9065274725,-18.5115384615385,-139.685926739927,15788.0378087117,-17.3915931938259,-132.276412566479,8.40638095238094,6.8563329841285,-27.4697276518616,-0.216047821852642
2,2018-09-04 04:50:00,1536029400.184,13565.6704029304,-18.4961538461538,-144.382926739927,15997.4833241004,-17.3631791898954,-133.01559228188,3.58630402930402,5.88984123728275,18.7399360173088,-0.77021639155897
2,2018-09-07 22:23:00,1536351780.608,11078.7808864469,-17.6901978021978,-135.339534798535,13162.208796328,-17.7351599524539,-123.248624880137,6.18204761904761,18.6326547394945,84.8396722880589,-0.659218479552767
2,2018-09-05 02:27:00,1536107220.424,12536.65503663,-17.129673992674,-135.611853479853,14439.7050773722,-17.1918883554337,-134.328220142656,1.42553846153845,3.20688670081384,14.9418111104707,-0.600947043150009
2,2018-09-07 00:09:00,1536271740.41,10154.2628095238,-17.0075384615385,-134.041205128205,11701.296386851,-17.2302757037167,-125.211709724865,2.01910256410258,12.6304959048681,82.2804882104806,-0.489011067016601
2,2018-09-07 23:00:00,1536354000.401,10907.3068021978,-17.7465018315018,-137.851249084249,12946.8900217028,-17.8342006239214,-126.604091079977,4.12076556776557,16.0695139113937,79.9691689192621,-0.645345669538862
2,2018-09-06 02:00:00,1536192000.845,10271.9230703704,-16.9667074074074,-133.709459259259,12178.7206133233,-16.5833744659606,-118.967553430375,2.02420000000001,13.6994422973102,76.5940013705205,-0.602730932939521
2,2018-09-07 17:00:00,1536332400.698,21592.7751391941,-14.6522490842491,-50.6024505494506,14254.1017320631,-17.2027562762944,-107.583704121147,66.6155421245421,30.038346089208,137.660408742348,2.32200895331618
2,2018-09-08 01:23:00,1536362580.057,9408.36110622711,-18.3383736263736,-148.629223443223,12354.1169305862,-18.1651613387524,-137.182886416195,-1.92223443223443,8.13840429382446,40.2707763361159,-0.932069648427207
2,2018-09-03 18:04:00,1535990640.19,18454.3841172161,-14.50436996337,-112.941135531136,15824.7774567079,-16.59499275007,-120.467825981365,3.09382417582418,12.2921160191949,-52.260812541996,0.832858578089988
2,2018-09-06 03:09:00,1536196140.033,10534.6317509158,-16.7627655677656,-132.827142857143,12179.457758642,-16.7007064012844,-122.081152590123,1.27498168498167,11.5244986201527,77.1696708326626,-0.519922661624543
2,2018-09-05 19:24:00,1536168240.75,13471.5959084249,-16.0917106227106,-72.3123076923077,12525.0480372334,-16.2438045967384,-103.000542830736,56.4213772893773,26.949893943171,446.398214039422,0.298901552975505
2,2018-09-04 20:27:00,1536085620.694,16873.7756886447,-16.9712564102564,-125.006919413919,16777.5654434479,-16.4525365267485,-123.880137253644,10.7631318681319,7.7401549603433,537.92313235139,0.0303812355799305
2,2018-09-08 02:00:00,1536364800.686,9257.47065567766,-18.6190183150183,-149.972065934066,12328.7717771578,-18.2186529919171,-138.497273675228,-1.01991941391941,7.25195026010871,32.1848981366103,-0.971793712429636
2,2018-09-03 20:27:00,1535999220.767,16273.4666739927,-17.2279706959707,-126.256798534799,15741.5383249542,-17.0292691417862,-126.548830694127,11.566967032967,9.68532244016208,67.2511217224578,0.168474647288329
2,2018-09-07 03:46:00,1536284760.498,9834.97344322344,-17.7502197802198,-144.187706959707,11918.8909455238,-17.3706605004731,-128.665679737166,-2.18594871794872,10.2996042666188,69.2247209718783,-0.659374211880587
2,2018-09-04 21:04:00,1536087840.454,17097.7657912088,-16.8084542124542,-127.034087912088,16614.3962620366,-16.5258165515871,-124.920221920925,7.43354578754578,7.28631049177221,12.4943231020151,0.152638216631347
2,2018-09-07 04:23:00,1536286980.301,9788.3956043956,-17.867619047619,-144.940351648352,11993.1343771788,-17.3916097486628,-128.968639840715,-1.99939926739927,10.1642381485881,64.167232283721,-0.697603411274617
2,2018-09-04 21:41:00,1536090060.294,16478.5444725275,-16.7301501831502,-126.872970695971,16462.0577117297,-16.5823014675426,-125.648920105736,6.96823076923077,7.00949163460405,-34.2308110160416,0.00520618527363695
2,2018-09-08 03:46:00,1536371160.521,9801.97264102564,-19.1158351648352,-153.719798534799,12622.1784831694,-18.304794801264,-139.160280033717,-0.793117216117224,7.2780783763952,35.3305124207258,-0.89234389740467
